name,website,country,description,access_type,models_count,pricing,key_features,target_market,last_updated
OpenRouter,https://openrouter.ai,US,OpenRouter provides API access to 529+ models from 60+ providers,Open Source/Commercial,529+,Freemium ($5/month Pro),Multi-provider access, rate limiting, API consistency,Developer/Enterprise,2024-10-04
Together AI,https://together.ai,US,Together AI offers 200+ models with GPU infrastructure and custom fine-tuning,Paid,200+,Subscription-based,Pay-as-you-go,Custom fine-tuning, GPU infrastructure,Developer/Enterprise,2024-10-04
Portkey,https://portkey.ai,US,Portkey provides unified access to 1,600+ models with enterprise-grade LLMOps,Open Source/Commercial,1600+,Freemium/Enterprise,Smart routing, caching, observability, monitoring,Enterprise/Developers,2024-10-04
Helicone,https://helicone.ai,US,Helicone provides 100+ models with open-source gateway and observability platform,Open Source/Commercial,100+,Freemium/Enterprise,API monitoring, observability, error handling, caching,Developer/Enterprise,2024-10-04
GPTunnel,https://gptunnel.ru,Russia,Universal AI aggregator providing access to multiple models through simple interface,Free/Paid,Unknown,Free tier/Paid plans,Simple interface, multi-model support, Russian language focus,Consumers/Developers,2024-10-04
GoGPT,https://gogpt.ru,Russia,Fast and convenient AI platform with access to multiple models,Free/Paid,Unknown,Free tier/Paid plans,Fast response, user-friendly interface, mobile app,Consumers,2024-10-04
BotHub,https://bothub.ru,Russia,Multi-format AI platform supporting various model types and integration options,Free/Paid,Unknown,Free tier/Paid plans,Multi-format support, enterprise features, API access,Developers/Enterprise,2024-10-04
ChadGPT,https://chadgpt.ru,Russia,Experimental AI platform with unique features and model access,Free/Paid,Unknown,Free tier/Paid plans,Experimental features, unique capabilities, early access,Enthusiasts/Developers,2024-10-04
AllGPT,https://allgpt.ru,Russia,Universal AI hub with comprehensive tools and model aggregation,Free/Paid,Unknown,Free tier/Paid plans,Universal access, comprehensive tools, multi-language support,Consumers/Developers,2024-10-04
Vlex AI,https://vlex.ai,Russia,Comprehensive AI platform with freemium model starting from 0₽ to 2,499₽/month,Free/Paid,Unknown,Free/Paid (0₽-2499₽/month),Freemium pricing, Russian market focus, mobile app,Consumers/Small Businesses,2024-10-04